category,unit,type,year,country,value
Biomass and Waste,Billion Kwh,Generation,1980,China,0
Biomass and Waste,Billion Kwh,Generation,1981,China,0
Biomass and Waste,Billion Kwh,Generation,1982,China,0
Biomass and Waste,Billion Kwh,Generation,1983,China,0
Biomass and Waste,Billion Kwh,Generation,1984,China,0
Biomass and Waste,Billion Kwh,Generation,1985,China,0
Biomass and Waste,Billion Kwh,Generation,1986,China,0
Biomass and Waste,Billion Kwh,Generation,1987,China,0
Biomass and Waste,Billion Kwh,Generation,1988,China,0
Biomass and Waste,Billion Kwh,Generation,1989,China,0
Biomass and Waste,Billion Kwh,Generation,1990,China,0
Biomass and Waste,Billion Kwh,Generation,1991,China,0
Biomass and Waste,Billion Kwh,Generation,1992,China,0
Biomass and Waste,Billion Kwh,Generation,1993,China,0
Biomass and Waste,Billion Kwh,Generation,1994,China,0.34299999999999997
Biomass and Waste,Billion Kwh,Generation,1995,China,2.897
Biomass and Waste,Billion Kwh,Generation,1996,China,1.4169999999999998
Biomass and Waste,Billion Kwh,Generation,1997,China,2.606
Biomass and Waste,Billion Kwh,Generation,1998,China,2.364
Biomass and Waste,Billion Kwh,Generation,1999,China,2.404
Biomass and Waste,Billion Kwh,Generation,2000,China,2.421
Biomass and Waste,Billion Kwh,Generation,2001,China,2.4379999999999997
Biomass and Waste,Billion Kwh,Generation,2002,China,2.4299999999999997
Biomass and Waste,Billion Kwh,Generation,2003,China,2.4219999999999997
Biomass and Waste,Billion Kwh,Generation,2004,China,2.4139999999999997
Biomass and Waste,Billion Kwh,Generation,2005,China,2.4059999999999997
Biomass and Waste,Billion Kwh,Generation,2006,China,2.3959999999999995
Biomass and Waste,Billion Kwh,Generation,2007,China,2.387
Biomass and Waste,Billion Kwh,Generation,2008,China,14.715
Biomass and Waste,Billion Kwh,Generation,2009,China,20.7
Biomass and Waste,Billion Kwh,Generation,2010,China,33.863
Biomass and Waste,Billion Kwh,Generation,2011,China,38.269000000000005
Biomass and Waste,Billion Kwh,Generation,2012,China,40.967
Biomass and Waste,Billion Kwh,Generation,2013,China,49.303
Biomass and Waste,Billion Kwh,Generation,2014,China,57.355999999999995
Biomass and Waste,Billion Kwh,Generation,2015,China,63.729000000000006
Biomass and Waste,Billion Kwh,Generation,2016,China,76.113
Biomass and Waste,Billion Kwh,Generation,2017,China,0
Biomass and Waste,Million Kw,Capacity,1980,China,0
Biomass and Waste,Million Kw,Capacity,1981,China,0
Biomass and Waste,Million Kw,Capacity,1982,China,0
Biomass and Waste,Million Kw,Capacity,1983,China,0
Biomass and Waste,Million Kw,Capacity,1984,China,0
Biomass and Waste,Million Kw,Capacity,1985,China,0
Biomass and Waste,Million Kw,Capacity,1986,China,0
Biomass and Waste,Million Kw,Capacity,1987,China,0
Biomass and Waste,Million Kw,Capacity,1988,China,0
Biomass and Waste,Million Kw,Capacity,1989,China,0
Biomass and Waste,Million Kw,Capacity,1990,China,0
Biomass and Waste,Million Kw,Capacity,1991,China,0
Biomass and Waste,Million Kw,Capacity,1992,China,0
Biomass and Waste,Million Kw,Capacity,1993,China,0
Biomass and Waste,Million Kw,Capacity,1994,China,0
Biomass and Waste,Million Kw,Capacity,1995,China,0
Biomass and Waste,Million Kw,Capacity,1996,China,0
Biomass and Waste,Million Kw,Capacity,1997,China,0
Biomass and Waste,Million Kw,Capacity,1998,China,0
Biomass and Waste,Million Kw,Capacity,1999,China,0
Biomass and Waste,Million Kw,Capacity,2000,China,1.1
Biomass and Waste,Million Kw,Capacity,2001,China,1.12
Biomass and Waste,Million Kw,Capacity,2002,China,1.6500000000000001
Biomass and Waste,Million Kw,Capacity,2003,China,1.85
Biomass and Waste,Million Kw,Capacity,2004,China,1.9
Biomass and Waste,Million Kw,Capacity,2005,China,2
Biomass and Waste,Million Kw,Capacity,2006,China,2.5
Biomass and Waste,Million Kw,Capacity,2007,China,3
Biomass and Waste,Million Kw,Capacity,2008,China,3.3
Biomass and Waste,Million Kw,Capacity,2009,China,4.6
Biomass and Waste,Million Kw,Capacity,2010,China,3.4499999999999997
Biomass and Waste,Million Kw,Capacity,2011,China,3.8099999999999996
Biomass and Waste,Million Kw,Capacity,2012,China,4.619999999999999
Biomass and Waste,Million Kw,Capacity,2013,China,6.09
Biomass and Waste,Million Kw,Capacity,2014,China,6.6499999999999995
Biomass and Waste,Million Kw,Capacity,2015,China,7.98
Biomass and Waste,Million Kw,Capacity,2016,China,9.27
Biomass and Waste,Million Kw,Capacity,2017,China,0
Fossil Fuels,Billion Kwh,Generation,1980,China,227.85600000000002
Fossil Fuels,Billion Kwh,Generation,1981,China,229.172
Fossil Fuels,Billion Kwh,Generation,1982,China,238.102
Fossil Fuels,Billion Kwh,Generation,1983,China,249.1
Fossil Fuels,Billion Kwh,Generation,1984,China,272.78799999999995
Fossil Fuels,Billion Kwh,Generation,1985,China,299.202
Fossil Fuels,Billion Kwh,Generation,1986,China,333.794
Fossil Fuels,Billion Kwh,Generation,1987,China,373.274
Fossil Fuels,Billion Kwh,Generation,1988,China,409.84000000000003
Fossil Fuels,Billion Kwh,Generation,1989,China,438.322
Fossil Fuels,Billion Kwh,Generation,1990,China,465.20599999999996
Fossil Fuels,Billion Kwh,Generation,1991,China,519.256
Fossil Fuels,Billion Kwh,Generation,1992,China,585.338
