year,country,type,investment
2005,China,Solar,0.7091787439613704
2006,China,Solar,1.063768115942028
2007,China,Solar,1.063768115942028
2008,China,Solar,1.772946859903398
2009,China,Solar,3.900483091787454
2010,China,Solar,5.6734299516908795
2011,China,Solar,14.183574879227077
2012,China,Solar,24.289371980676286
2013,China,Solar,28.721739130434838
2014,China,Solar,41.84154589371983
2015,China,Solar,64.35797101449275
2016,China,Solar,54.96135265700485
2017,China,Solar,86.51980676328502
2018,China,Solar,40.24589371980684
2005,China,Wind,1.7729468599033984
2006,China,Wind,4.077777777777783
2007,China,Wind,7.623671497584497
2008,China,Wind,17.90676328502412
2009,China,Wind,29.253623188405772
2010,China,Wind,30.317391304347773
2011,China,Wind,27.657971014492784
2012,China,Wind,26.948792270531442
2013,China,Wind,27.657971014492748
2014,China,Wind,38.11835748792269
2015,China,Wind,53.18840579710141
2016,China,Wind,38.11835748792274
2017,China,Wind,50.883574879227
2018,China,Wind,46.273913043478224
2005,China,Other,6.317874396135232
2006,China,Other,6.058454106280188
2007,China,Other,8.112560386473476
2008,China,Other,5.9202898550724825
2009,China,Other,5.545893719806777
2010,China,Other,9.00917874396135
2011,China,Other,9.65845410628014
2012,China,Other,11.361835748792274
2013,China,Other,10.52028985507242
2014,China,Other,9.640096618357475
2015,China,Other,7.853623188405848
2016,China,Other,14.120289855072414
2017,China,Other,9.396618357487995
2018,China,Other,13.580193236714933
2005,Europe,Solar,9.186666666666628
2006,Europe,Solar,13.073333333333306
2007,Europe,Solar,24.379999999999928
2008,Europe,Solar,41.163333333333256
2009,Europe,Solar,42.04666666666635
2010,Europe,Solar,69.95999999999958
2011,Europe,Solar,84.79999999999968
2012,Europe,Solar,59.35999999999984
2013,Europe,Solar,26.323333333333068
2014,Europe,Solar,20.84666666666609
2015,Europe,Solar,16.783333333332813
2016,Europe,Solar,13.073333333332577
2017,Europe,Solar,10.599999999999707
2018,Europe,Solar,18.72666666666627
2005,Europe,Wind,16.959999999999983
2006,Europe,Wind,21.023333333333337
2007,Europe,Wind,31.270000000000064
2008,Europe,Wind,30.386666666666738
2009,Europe,Wind,30.563333333333667
2010,Europe,Wind,33.390000000000384
2011,Europe,Wind,30.210000000000353
2012,Europe,Wind,22.083333333333474
2013,Europe,Wind,25.793333333333592
2014,Europe,Wind,39.22000000000056
2015,Europe,Wind,38.86666666666718
2016,Europe,Wind,45.58000000000072
2017,Europe,Wind,28.973333333333617
2018,Europe,Wind,36.393333333333736
2005,Europe,Other,12.753333333333387
2006,Europe,Other,18.403333333333357
2007,Europe,Other,19.55000000000001
2008,Europe,Other,16.75
2009,Europe,Other,18.689999999999984
2010,Europe,Other,19.75000000000003
2011,Europe,Other,22.789999999999978
2012,Europe,Other,16.956666666666692
2013,Europe,Other,18.083333333333343
2014,Europe,Other,18.43333333333335
2015,Europe,Other,18.150000000000006
2016,Europe,Other,19.046666666666702
2017,Europe,Other,18.826666666666675
2018,Europe,Other,19.379999999999995
2005,USA,Solar,2.2166240409206583
2006,USA,Solar,3.530179028132899
2007,USA,Solar,6.978260869565034
2008,USA,Solar,11.247314578004815
2009,USA,Solar,8.620204603580332
2010,USA,Solar,11.32941176470558
2011,USA,Solar,31.771611253196085
2012,USA,Solar,20.19590792838873
2013,USA,Solar,17.158312020460357
2014,USA,Solar,25.696419437340158
