number,date_vote
1,7 January 1789
2,*2 November 1792
3,*4 November 1796
4,*31 October 1800
5,*2 November 1804
6,*4 November 1808
7,*30 October 1812
8,*1 November 1816
9,*3 November 1820
10,*29 October 1824
11,*31 October 1828
12,*2 November 1832
13,*4 November 1836
14,*30 October 1840
15,*1 November 1844
16,7 November 1848
17,2 November 1852
18,4 November 1856
19,6 November 1860
20,8 November 1864
21,3 November 1868
22,5 November 1872
23,7 November 1876
24,2 November 1880
25,4 November 1884
26,6 November 1888
27,8 November 1892
28,3 November 1896
29,6 November 1900
30,8 November 1904
31,3 November 1908
32,5 November 1912
33,7 November 1916
34,2 November 1920
35,4 November 1924
36,6 November 1928
37,8 November 1932
38,3 November 1936
39,5 November 1940
40,7 November 1944
41,2 November 1948
42,4 November 1952
43,6 November 1956
44,8 November 1960
45,3 November 1964
46,5 November 1968
47,7 November 1972
48,2 November 1976
49,4 November 1980
50,6 November 1984
51,8 November 1988
52,3 November 1992
53,5 November 1996
54,7 November 2000
55,2 November 2004
56,4 November 2008
57,6 November 2012
58,8 November 2016
59,2 November 2020
