type,date,category,sales
Tesla Model 3,2017-07-01,bev,0.03
Tesla Model 3,2017-08-01,bev,0.07
Tesla Model 3,2017-09-01,bev,0.12
Tesla Model 3,2017-10-01,bev,0.15
Tesla Model 3,2017-11-01,bev,0.35
Tesla Model 3,2017-12-01,bev,1.05
Tesla Model 3,2018-01-01,bev,1.875
Tesla Model 3,2018-02-01,bev,2.485
Tesla Model 3,2018-03-01,bev,3.82
Tesla Model 3,2018-04-01,bev,3.75
Tesla Model 3,2018-05-01,bev,6
Tesla Model 3,2018-06-01,bev,5.902
Tesla Model 3,2018-07-01,bev,14.25
Tesla Model 3,2018-08-01,bev,17.8
Tesla Model 3,2018-09-01,bev,22.25
Tesla Model 3,2018-10-01,bev,17.75
Tesla Model 3,2018-11-01,bev,18.65
Tesla Model 3,2018-12-01,bev,25.25
Tesla Model 3,2019-01-01,bev,6.5
Tesla Model 3,2019-02-01,bev,5.75
Tesla Model 3,2019-03-01,bev,10.175
Tesla Model 3,2019-04-01,bev,10.05
Tesla Model 3,2019-05-01,bev,13.95
Tesla Model 3,2019-06-01,bev,21.225
Tesla Model 3,2019-07-01,bev,12.55
Tesla Model 3,2019-08-01,bev,12.35
Tesla Model 3,2019-09-01,bev,19.1
Tesla Model 3,2019-10-01,bev,15.758333333333335
Tesla Model 3,2019-11-01,bev,15.758333333333335
Tesla Model 3,2019-12-01,bev,15.758333333333335
Tesla Model S & X,2013-01-01,bev,1.3
Tesla Model S & X,2013-02-01,bev,1.5
Tesla Model S & X,2013-03-01,bev,1.95
Tesla Model S & X,2013-04-01,bev,2.1
Tesla Model S & X,2013-05-01,bev,2
Tesla Model S & X,2013-06-01,bev,1.8
Tesla Model S & X,2013-07-01,bev,1.55
Tesla Model S & X,2013-08-01,bev,1.7
Tesla Model S & X,2013-09-01,bev,1.1
Tesla Model S & X,2013-10-01,bev,1.3
Tesla Model S & X,2013-11-01,bev,1.4
Tesla Model S & X,2013-12-01,bev,1.7
Tesla Model S & X,2014-01-01,bev,1.3
Tesla Model S & X,2014-02-01,bev,1.4
Tesla Model S & X,2014-03-01,bev,1.3
Tesla Model S & X,2014-04-01,bev,1.4
Tesla Model S & X,2014-05-01,bev,1.4
Tesla Model S & X,2014-06-01,bev,1.4
Tesla Model S & X,2014-07-01,bev,1.4
Tesla Model S & X,2014-08-01,bev,1.2
Tesla Model S & X,2014-09-01,bev,1.3
Tesla Model S & X,2014-10-01,bev,1.3
Tesla Model S & X,2014-11-01,bev,1.45
Tesla Model S & X,2014-12-01,bev,1.9
Tesla Model S & X,2015-01-01,bev,1.3
Tesla Model S & X,2015-02-01,bev,1.4
Tesla Model S & X,2015-03-01,bev,2
Tesla Model S & X,2015-04-01,bev,1.9
Tesla Model S & X,2015-05-01,bev,2.3
Tesla Model S & X,2015-06-01,bev,2.8
Tesla Model S & X,2015-07-01,bev,1.8
Tesla Model S & X,2015-08-01,bev,1.6
Tesla Model S & X,2015-09-01,bev,2.4059999999999997
Tesla Model S & X,2015-10-01,bev,2.11
Tesla Model S & X,2015-11-01,bev,3.115
Tesla Model S & X,2015-12-01,bev,3.379
Tesla Model S & X,2016-01-01,bev,1.7000000000000002
Tesla Model S & X,2016-02-01,bev,2.4
Tesla Model S & X,2016-03-01,bev,4.5
Tesla Model S & X,2016-04-01,bev,3.2
Tesla Model S & X,2016-05-01,bev,3.5
Tesla Model S & X,2016-06-01,bev,4.8
Tesla Model S & X,2016-07-01,bev,3.9
Tesla Model S & X,2016-08-01,bev,5.1
Tesla Model S & X,2016-09-01,bev,6.699999999999999
Tesla Model S & X,2016-10-01,bev,2.2
Tesla Model S & X,2016-11-01,bev,3.2
Tesla Model S & X,2016-12-01,bev,8.6
Tesla Model S & X,2017-01-01,bev,2.2
Tesla Model S & X,2017-02-01,bev,2.5
Tesla Model S & X,2017-03-01,bev,5.6
Tesla Model S & X,2017-04-01,bev,2.1
Tesla Model S & X,2017-05-01,bev,3.5
Tesla Model S & X,2017-06-01,bev,4.300000000000001
Tesla Model S & X,2017-07-01,bev,2.9
Tesla Model S & X,2017-08-01,bev,3.8
Tesla Model S & X,2017-09-01,bev,7.9
Tesla Model S & X,2017-10-01,bev,2
Tesla Model S & X,2017-11-01,bev,3.2
Tesla Model S & X,2017-12-01,bev,8.2
Tesla Model S & X,2018-01-01,bev,1.5
Tesla Model S & X,2018-02-01,bev,2.1
Tesla Model S & X,2018-03-01,bev,6.2
Tesla Model S & X,2018-04-01,bev,2.275
Tesla Model S & X,2018-05-01,bev,2.9699999999999998
Tesla Model S & X,2018-06-01,bev,5.3
Tesla Model S & X,2018-07-01,bev,2.525
Tesla Model S & X,2018-08-01,bev,5.375
Tesla Model S & X,2018-09-01,bev,7.725
Tesla Model S & X,2018-10-01,bev,2.575
Tesla Model S & X,2018-11-01,bev,5.95
Tesla Model S & X,2018-12-01,bev,7.35
Tesla Model S & X,2019-01-01,bev,1.5
Tesla Model S & X,2019-02-01,bev,1.525
Tesla Model S & X,2019-03-01,bev,4.449999999999999
Tesla Model S & X,2019-04-01,bev,1.875
Tesla Model S & X,2019-05-01,bev,2.4
Tesla Model S & X,2019-06-01,bev,4.475
Tesla Model S & X,2019-07-01,bev,2.2
Tesla Model S & X,2019-08-01,bev,2.875
Tesla Model S & X,2019-09-01,bev,2.7750000000000004
Tesla Model S & X,2019-10-01,bev,3.083333333333333
