year,total_shipments,value,ave_value
2006,320208,1120728,3.5
2007,494148,1665278.76,3.37
2008,920693,3213218.5700000003,3.49
2009,1188879,3316972.41,2.79
2010,2644498,5192669.6314504,1.9635748
2011,3772075,5990348.1902275,1.5880777
2012,4655005,5341383.1597475,1.1474495
2013,4984881,3754812.7614162,0.7532402
2014,6237524,5425417.7115244,0.8698031
2015,9942977.976000002,7014256.910106642,0.7054483
2016,13451187.321000002,9701365,0.7210623
2017,10155892.767,4839538.188,0.4757167873070925
2018,6761231.897,2948287.484,0.4413088711850554
2019,6008548.107,2357570.912,0.39649927397955154
