country,generation_tot,generation_per,operable_n,operable_mw,construction_n,construction_mw,planned_n,planned_mw,proposed_n,proposed_mw,uranium_tonnes,year,month
Argentina,6.5,4.7,3,1667,1,27,1,1150,2,1350,195,2019,6
Armenia,1.9,25.6,1,376,0,0,0,0,1,1060,77,2019,6
Bangladesh,0,0,0,0,2,2400,0,0,2,2400,0,2019,6
Belarus,0,0,0,0,2,2388,0,0,2,2400,0,2019,6
Belgium,27.3,39,7,5943,0,0,0,0,0,0,987,2019,6
Brazil,14.8,2.7,2,1896,1,1405,0,0,4,4000,321,2019,6
Bulgaria,15.4,34.7,2,1926,0,0,1,1000,1,1000,327,2019,6
Canada,94.5,14.9,19,13553,0,0,0,0,2,1500,1592,2019,6
China,277.1,4.2,45,43028,13,12841,43,50900,170,199610,8289,2019,6
Czech Republic,28.3,34.5,6,3932,0,0,2,2400,2,2400,649,2019,6
Egypt,0,0,0,0,0,0,4,4800,0,0,0,2019,6
Finland,21.9,32.5,4,2764,1,1720,1,1250,0,0,494,2019,6
France,395.9,71.7,58,63130,1,1750,0,0,0,0,9502,2019,6
Germany,71.9,11.7,7,9444,0,0,0,0,0,0,1480,2019,6
Hungary,14.9,50.6,4,1889,0,0,2,2400,0,0,349,2019,6
India,35.4,3.1,22,6219,7,5400,14,10500,28,32000,843,2019,6
Iran,6.3,2.1,1,915,0,0,2,2114,5,2760,157,2019,6
Japan,49.3,6.2,37,36147,2,2756,1,1385,8,11562,662,2019,6
Jordan,0,0,0,0,0,0,0,0,1,1000,0,2019,6
Kazakhstan,0,0,0,0,0,0,0,0,2,600,0,2019,6
Korea Ro (South),127.1,23.7,24,23231,4,5600,0,0,2,2800,4730,2019,6
Lithuania,0,0,0,0,0,0,0,0,2,2700,0,2019,6
Mexico,13.2,5.3,2,1600,0,0,0,0,3,3000,248,2019,6
Netherlands,3.3,3.1,1,485,0,0,0,0,0,0,82,2019,6
Pakistan,9.3,6.8,5,1355,2,2322,1,1170,0,0,217,2019,6
Poland,0,0,0,0,0,0,0,0,6,6000,0,2019,6
Romania,10.5,17.2,2,1310,0,0,2,1440,1,720,183,2019,6
Russia,191.3,17.9,36,29139,6,4973,24,25810,22,21000,5380,2019,6
Saudi Arabia,0,0,0,0,0,0,0,0,16,17000,0,2019,6
Slovakia,13.8,55,4,1816,2,942,0,0,1,1200,651,2019,6
Slovenia,5.5,35.9,1,696,0,0,0,0,1,1000,141,2019,6
South Africa,10.6,4.7,2,1830,0,0,0,0,8,9600,279,2019,6
Spain,53.4,20.4,7,7121,0,0,0,0,0,0,1275,2019,6
Sweden,65.9,40.3,8,8376,0,0,0,0,0,0,1188,2019,6
Switzerland,24.5,37.7,5,3333,0,0,0,0,0,0,497,2019,6
Thailand,0,0,0,0,0,0,0,0,2,2000,0,2019,6
Turkey,0,0,0,0,1,1200,3,3600,8,9500,0,2019,6
Ukraine,79.5,53,15,13107,0,0,2,1900,2,2400,1944,2019,6
Uae,0,0,0,0,4,5600,0,0,0,0,627,2019,6
United Kingdom,59.1,17.7,15,8883,1,1720,3,5060,6,7820,1772,2019,6
Usa,808,19.3,97,98699,4,5000,3,2550,18,8000,18996,2019,6
Uzbekistan,0,0,0,0,0,0,2,2400,0,0,0,2019,6
World,2563,10.3,446,397529,56,60644,111,121829,328,358382,65014,2019,6
Argentina,6.2,4.5,3,1667,1,27,1,1150,2,1350,195,2019,4
Armenia,2.4,32.5,1,376,0,0,0,0,1,1060,77,2019,4
Bangladesh,0,0,0,0,2,2400,0,0,2,2400,0,2019,4
Belarus,0,0,0,0,2,2388,0,0,2,2400,0,2019,4
Belgium,40,49.9,7,5943,0,0,0,0,0,0,987,2019,4
Brazil,15.7,2.7,2,1896,1,1405,0,0,4,4000,321,2019,4
Bulgaria,15.5,34.3,2,1926,0,0,0,0,1,1200,327,2019,4
Canada,96,14.6,19,13553,0,0,0,0,2,1500,1592,2019,4
China,247.5,3.9,45,42976,13,12841,43,50900,170,199610,8289,2019,4
Czech Republic,26.8,33.1,6,3932,0,0,2,2400,2,2400,649,2019,4
Egypt,0,0,0,0,0,0,4,4800,0,0,0,2019,4
Finland,21.6,33.2,4,2764,1,1720,1,1250,0,0,494,2019,4
France,379.1,71.6,58,63130,1,1750,0,0,0,0,9502,2019,4
Germany,72.2,11.6,7,9444,0,0,0,0,0,0,1480,2019,4
Hungary,15.2,50,4,1889,0,0,2,2400,0,0,349,2019,4
India,34.9,3.2,22,6219,7,5400,14,10500,28,32000,843,2019,4
Iran,6.4,2.2,1,915,0,0,4,2200,7,6300,157,2019,4
Israel,0,0,0,0,0,0,0,0,1,1200,0,2019,4
Japan,29.1,3.6,37,36147,2,2756,1,1385,8,11562,662,2019,4
Jordan,0,0,0,0,0,0,0,0,1,1000,0,2019,4
Kazakhstan,0,0,0,0,0,0,0,0,2,600,0,2019,4
Korea Ro (South),141.1,27.1,23,21848,5,7000,0,0,0,0,4730,2019,4
Lithuania,0,0,0,0,0,0,0,0,2,2700,0,2019,4
Mexico,10.6,6,2,1600,0,0,0,0,3,3000,248,2019,4
Netherlands,3.3,2.9,1,485,0,0,0,0,0,0,82,2019,4
Pakistan,7.9,6.2,5,1355,2,2322,1,1170,0,0,217,2019,4
Poland,0,0,0,0,0,0,0,0,6,6000,0,2019,4
Romania,10.6,17.7,2,1310,0,0,2,1440,1,720,183,2019,4
Russia,187.5,17.8,35,28025,6,4889,25,27135,22,21000,5380,2019,4
Saudi Arabia,0,0,0,0,0,0,0,0,16,17000,0,2019,4
Slovakia,14,54,4,1816,2,942,0,0,1,1200,651,2019,4
Slovenia,6,39.1,1,696,0,0,0,0,1,1000,141,2019,4
South Africa,15.1,6.7,2,1830,0,0,0,0,8,9600,279,2019,4
Spain,55.6,21.2,7,7121,0,0,0,0,0,0,1275,2019,4
Sweden,63.1,39.6,8,8376,0,0,0,0,0,0,1188,2019,4
Switzerland,19.5,33.4,5,3333,0,0,0,0,0,0,497,2019,4
Thailand,0,0,0,0,0,0,0,0,2,2000,0,2019,4
Turkey,0,0,0,0,1,1200,3,3600,8,9500,0,2019,4
Ukraine,85.6,55.1,15,13107,0,0,2,1900,2,2400,1944,2019,4
Uae,0,0,0,0,4,5600,0,0,10,14400,627,2019,4
United Kingdom,63.9,19.3,15,8883,1,1720,3,5060,6,7820,1772,2019,4
Usa,805,20,98,99376,4,5000,14,3100,28,30000,18996,2019,4
Uzbekistan,0,0,0,0,0,0,2,2400,0,0,0,2019,4
World,2519,10.3,445,395657,57,61960,124,122790,349,496022,65014,2019,4
Argentina,6.2,4.5,3,1627,1,27,2,1950,2,1300,195,2018,11
Armenia,2.4,32.5,1,376,0,0,1,1060,0,0,77,2018,11
Bangladesh,0,0,0,0,2,2400,0,0,0,0,0,2018,11
Belarus,0,0,0,0,2,2388,0,0,2,2400,0,2018,11
Belgium,40,49.9,7,5943,0,0,0,0,0,0,987,2018,11
Brazil,15.7,2.7,2,1896,1,1405,0,0,4,4000,321,2018,11
Bulgaria,15.5,34.3,2,1926,0,0,0,0,1,1200,327,2018,11
Canada,96,14.6,19,13553,0,0,2,1500,0,0,1592,2018,11
Chile,0,0,0,0,0,0,0,0,4,4400,0,2018,11
China,247.5,3.9,45,42976,13,12841,43,50900,136,154000,8289,2018,11
Czech Republic,26.8,33.1,6,3932,0,0,2,2400,1,1200,649,2018,11
Egypt,0,0,0,0,0,0,2,2400,2,2400,0,2018,11
Finland,21.6,33.2,4,2764,1,1720,1,1250,0,0,494,2018,11
France,379.1,71.6,58,63130,1,1750,0,0,0,0,9502,2018,11
Germany,72.2,11.6,7,9444,0,0,0,0,0,0,1480,2018,11
Hungary,15.2,50,4,1889,0,0,2,2400,0,0,349,2018,11
India,34.9,3.2,22,6219,7,5400,14,10500,28,32000,843,2018,11
Indonesia,0,0,0,0,0,0,1,30,4,4000,0,2018,11
Iran,6.4,2.2,1,915,0,0,4,2200,7,6300,157,2018,11
Israel,0,0,0,0,0,0,0,0,1,1200,0,2018,11
Italy,0,0,0,0,0,0,0,0,0,0,0,2018,11
Japan,29.1,3.6,40,38916,2,2756,9,12947,3,4145,662,2018,11
Jordan,0,0,0,0,0,0,0,0,2,2000,0,2018,11
Kazakhstan,0,0,0,0,0,0,0,0,3,1800,0,2018,11
Korea Dpr (North),0,0,0,0,0,0,0,0,1,950,0,2018,11
Korea Ro (South),141.1,27.1,24,22505,5,7000,0,0,6,8800,4730,2018,11
Lithuania,0,0,0,0,0,0,0,0,2,2700,0,2018,11
Malaysia,0,0,0,0,0,0,0,0,2,2000,0,2018,11
Mexico,10.6,6,2,1600,0,0,0,0,3,3000,248,2018,11
Netherlands,3.3,2.9,1,485,0,0,0,0,0,0,82,2018,11
Pakistan,7.9,6.2,5,1355,2,2322,1,1170,0,0,217,2018,11
Poland,0,0,0,0,0,0,6,6000,0,0,0,2018,11
Romania,10.6,17.7,2,1310,0,0,2,1440,0,0,183,2018,11
Russia,187.5,17.8,37,28961,6,4889,25,27135,22,21000,5380,2018,11
Saudi Arabia,0,0,0,0,0,0,0,0,16,17000,0,2018,11
Slovakia,14,54,4,1816,2,942,0,0,1,1200,651,2018,11
Slovenia,6,39.1,1,696,0,0,0,0,1,1000,141,2018,11
South Africa,15.1,6.7,2,1830,0,0,0,0,8,9600,279,2018,11
Spain,55.6,21.2,7,7121,0,0,0,0,0,0,1275,2018,11
Sweden,63.1,39.6,8,8376,0,0,0,0,0,0,1188,2018,11
Switzerland,19.5,33.4,5,3333,0,0,0,0,3,4000,497,2018,11
Thailand,0,0,0,0,0,0,0,0,5,5000,0,2018,11
Turkey,0,0,0,0,1,1200,3,3600,8,9500,0,2018,11
Ukraine,85.6,55.1,15,13107,0,0,2,1900,11,12000,1944,2018,11
Uae,0,0,0,0,4,5600,0,0,10,14400,627,2018,11
United Kingdom,63.9,19.3,15,8883,0,0,8,12200,2,2300,1772,2018,11
Usa,805,20,98,99221,4,5000,14,3100,28,30000,18996,2018,11
Uzbekistan,0,0,0,0,0,0,0,0,2,2400,0,2018,11
Vietnam,0,0,0,0,0,0,4,4800,6,7100,0,2018,11
World,2519,10.6,451,399824,56,60240,148,150882,337,376295,65014,2018,11
Argentina,6.2,4.5,3,1627,1,27,2,1950,2,1300,195,2018,8
Armenia,2.4,32.5,1,376,0,0,1,1060,0,0,77,2018,8
Bangladesh,0,0,0,0,2,2400,0,0,0,0,0,2018,8
Belarus,0,0,0,0,2,2388,0,0,2,2400,0,2018,8
Belgium,40,49.9,7,5943,0,0,0,0,0,0,987,2018,8
Brazil,15.7,2.7,2,1896,1,1405,0,0,4,4000,321,2018,8
Bulgaria,15.5,34.3,2,1926,0,0,0,0,1,1200,327,2018,8
Canada,96,14.6,19,13553,0,0,2,1500,0,0,1592,2018,8
Chile,0,0,0,0,0,0,0,0,4,4400,0,2018,8
China,247.5,3.9,43,40733,15,15217,43,50900,136,154000,8289,2018,8
Czech Republic,26.8,33.1,6,3932,0,0,2,2400,1,1200,649,2018,8
Egypt,0,0,0,0,0,0,2,2400,2,2400,0,2018,8
Finland,21.6,33.2,4,2764,1,1720,1,1250,0,0,494,2018,8
France,379.1,71.6,58,63130,1,1750,0,0,0,0,9502,2018,8
Germany,72.2,11.6,7,9444,0,0,0,0,0,0,1480,2018,8
Hungary,15.2,50,4,1889,0,0,2,2400,0,0,349,2018,8
India,34.9,3.2,22,6219,7,5400,14,10500,28,32000,843,2018,8
Indonesia,0,0,0,0,0,0,1,30,4,4000,0,2018,8
Iran,6.4,2.2,1,915,0,0,4,2200,7,6300,157,2018,8
Israel,0,0,0,0,0,0,0,0,1,1200,0,2018,8
Italy,0,0,0,0,0,0,0,0,0,0,0,2018,8
Japan,29.1,3.6,42,39952,2,2756,9,12947,3,4145,662,2018,8
Jordan,0,0,0,0,0,0,0,0,2,2000,0,2018,8
Kazakhstan,0,0,0,0,0,0,0,0,3,1800,0,2018,8
Korea Dpr (North),0,0,0,0,0,0,0,0,1,950,0,2018,8
Korea Ro (South),141.1,27.1,24,22505,4,5600,1,1400,6,8800,4730,2018,8
Lithuania,0,0,0,0,0,0,0,0,2,2700,0,2018,8
Malaysia,0,0,0,0,0,0,0,0,2,2000,0,2018,8
Mexico,10.6,6,2,1600,0,0,0,0,3,3000,248,2018,8
Netherlands,3.3,2.9,1,485,0,0,0,0,0,0,82,2018,8
Pakistan,7.9,6.2,5,1355,2,2322,1,1170,0,0,217,2018,8
Poland,0,0,0,0,0,0,6,6000,0,0,0,2018,8
Romania,10.6,17.7,2,1310,0,0,2,1440,0,0,183,2018,8
Russia,187.5,17.8,37,28961,6,4889,25,27135,22,21000,5380,2018,8
Saudi Arabia,0,0,0,0,0,0,0,0,16,17000,0,2018,8
Slovakia,14,54,4,1816,2,942,0,0,1,1200,651,2018,8
Slovenia,6,39.1,1,696,0,0,0,0,1,1000,141,2018,8
South Africa,15.1,6.7,2,1830,0,0,0,0,8,9600,279,2018,8
Spain,55.6,21.2,7,7121,0,0,0,0,0,0,1275,2018,8
Sweden,63.1,39.6,8,8376,0,0,0,0,0,0,1188,2018,8
Switzerland,19.5,33.4,5,3333,0,0,0,0,3,4000,497,2018,8
Thailand,0,0,0,0,0,0,0,0,5,5000,0,2018,8
Turkey,0,0,0,0,1,1200,3,3600,8,9500,0,2018,8
Ukraine,85.6,55.1,15,13107,0,0,2,1900,11,12000,1944,2018,8
Uae,0,0,0,0,4,5600,0,0,10,14400,627,2018,8
United Kingdom,63.9,19.3,15,8883,0,0,11,15600,2,2300,1772,2018,8
Usa,805,20,99,99829,2,2500,14,3100,28,30000,18996,2018,8
Vietnam,0,0,0,0,0,0,4,4800,6,7100,0,2018,8
World,2519,10.6,454,400433,55,58716,152,155682,335,373823,65014,2018,8
Argentina,7.7,5.6,3,1627,1,27,2,1950,2,1300,195,2018,4
Armenia,2.2,31.4,1,376,0,0,1,1060,0,0,77,2018,4
Bangladesh,0,0,0,0,1,1200,1,1200,0,0,0,2018,4
Belarus,0,0,0,0,2,2388,0,0,2,2400,0,2018,4
Belgium,41.3,51.7,7,5943,0,0,0,0,0,0,987,2018,4
Brazil,15.9,2.9,2,1896,1,1405,0,0,4,4000,321,2018,4
Bulgaria,15.8,35,2,1926,0,0,0,0,1,1200,327,2018,4
Canada,97.4,15.6,19,13553,0,0,2,1500,0,0,1592,2018,4
Chile,0,0,0,0,0,0,0,0,4,4400,0,2018,4
China,210.5,3.6,38,34647,20,21546,41,48500,143,164000,8289,2018,4
Czech Republic,22.7,29.4,6,3904,0,0,2,2400,1,1200,649,2018,4
Egypt,0,0,0,0,0,0,2,2400,2,2400,0,2018,4
Finland,22.3,33.7,4,2764,1,1720,1,1250,0,0,494,2018,4
France,384,72.3,58,63130,1,1750,0,0,0,0,9502,2018,4
Germany,80.1,13.1,7,9444,0,0,0,0,0,0,1480,2018,4
Hungary,15.2,51.3,4,1889,0,0,2,2400,0,0,349,2018,4
India,35,3.4,22,6219,6,4350,15,11550,28,32000,843,2018,4
Indonesia,0,0,0,0,0,0,1,30,4,4000,0,2018,4
Iran,5.9,2.1,1,915,0,0,4,2200,7,6300,157,2018,4
Israel,0,0,0,0,0,0,0,0,1,1200,0,2018,4
Italy,0,0,0,0,0,0,0,0,0,0,0,2018,4
Japan,17.5,2.2,42,39952,2,2756,9,12947,3,4145,662,2018,4
Jordan,0,0,0,0,0,0,2,2000,0,0,0,2018,4
Kazakhstan,0,0,0,0,0,0,0,0,3,1800,0,2018,4
Korea Dpr (North),0,0,0,0,0,0,0,0,1,950,0,2018,4
Korea Ro (South),154.2,30.3,24,22505,4,5600,1,1400,6,8800,4730,2018,4
Lithuania,0,0,0,0,0,0,0,0,2,2700,0,2018,4
Malaysia,0,0,0,0,0,0,0,0,2,2000,0,2018,4
Mexico,10.3,6.2,2,1600,0,0,0,0,3,3000,248,2018,4
Netherlands,3.8,3.4,1,485,0,0,0,0,0,0,82,2018,4
Pakistan,5.1,4.4,5,1355,2,2322,1,1170,0,0,217,2018,4
Poland,0,0,0,0,0,0,6,6000,0,0,0,2018,4
Romania,10.4,17.1,2,1310,0,0,2,1440,0,0,183,2018,4
Russia,179.7,17.1,37,28961,6,4889,25,27135,22,21000,5380,2018,4
Saudi Arabia,0,0,0,0,0,0,0,0,16,17000,0,2018,4
Slovakia,13.7,54.1,4,1816,2,942,0,0,1,1200,651,2018,4
Slovenia,5.4,35.2,1,696,0,0,0,0,1,1000,141,2018,4
South Africa,15.2,6.6,2,1830,0,0,0,0,8,9600,279,2018,4
Spain,56.1,21.4,7,7121,0,0,0,0,0,0,1275,2018,4
Sweden,60.6,40,8,8376,0,0,0,0,0,0,1188,2018,4
Switzerland,20.3,34.3,5,3333,0,0,0,0,3,4000,497,2018,4
Thailand,0,0,0,0,0,0,0,0,5,5000,0,2018,4
Turkey,0,0,0,0,1,1200,3,3600,8,9500,0,2018,4
Ukraine,81,52.3,15,13107,0,0,2,1900,11,12000,1944,2018,4
Uae,0,0,0,0,4,5600,0,0,10,14400,627,2018,4
United Kingdom,65.1,20.4,15,8883,0,0,11,15600,2,2300,1772,2018,4
Usa,805.3,19.7,99,99647,2,2500,14,3100,21,30000,18996,2018,4
Vietnam,0,0,0,0,0,0,4,48,6,7100,0,2018,4
World,2490,10.6,449,394137,58,62895,154,157532,333,381895,65014,2018,4
Argentina,7.7,5.6,3,1627,1,27,2,1950,2,1300,195,2018,2
Armenia,2.2,31.4,1,376,0,0,1,1060,0,0,77,2018,2
Bangladesh,0,0,0,0,1,1200,1,1200,0,0,0,2018,2
Belarus,0,0,0,0,2,2388,0,0,2,2400,0,2018,2
Belgium,41.3,51.7,7,5943,0,0,0,0,0,0,987,2018,2
Brazil,15.9,2.9,2,1896,1,1405,0,0,4,4000,321,2018,2
Bulgaria,15.8,35,2,1926,0,0,0,0,1,1200,327,2018,2
Canada,97.4,15.6,19,13553,0,0,2,1500,0,0,1592,2018,2
Chile,0,0,0,0,0,0,0,0,4,4400,0,2018,2
China,210.5,3.6,38,34647,20,21546,39,46100,143,164000,8289,2018,2
Czech Republic,22.7,29.4,6,3904,0,0,2,2400,1,1200,649,2018,2
Egypt,0,0,0,0,0,0,2,2400,2,2400,0,2018,2
Finland,22.3,33.7,4,2764,1,1720,1,1250,0,0,494,2018,2
France,384,72.3,58,63130,1,1750,0,0,0,0,9502,2018,2
Germany,80.1,13.1,7,9444,0,0,0,0,0,0,1480,2018,2
Hungary,15.2,51.3,4,1889,0,0,2,2400,0,0,349,2018,2
India,35,3.4,22,6219,6,4350,19,17250,46,52000,843,2018,2
Indonesia,0,0,0,0,0,0,1,30,4,4000,0,2018,2
Iran,5.9,2.1,1,915,0,0,4,2200,7,6300,157,2018,2
Israel,0,0,0,0,0,0,0,0,1,1200,0,2018,2
Italy,0,0,0,0,0,0,0,0,0,0,0,2018,2
Japan,17.5,2.2,42,39952,2,2756,9,12947,3,4145,662,2018,2
Jordan,0,0,0,0,0,0,2,2000,0,0,0,2018,2
Kazakhstan,0,0,0,0,0,0,0,0,3,1800,0,2018,2
Korea Dpr (North),0,0,0,0,0,0,0,0,1,950,0,2018,2
Korea Ro (South),154.2,30.3,24,22505,4,5600,1,1400,6,8800,4730,2018,2
Lithuania,0,0,0,0,0,0,0,0,2,2700,0,2018,2
Malaysia,0,0,0,0,0,0,0,0,2,2000,0,2018,2
Mexico,10.3,6.2,2,1600,0,0,0,0,3,3000,248,2018,2
Netherlands,3.8,3.4,1,485,0,0,0,0,0,0,82,2018,2
Pakistan,5.1,4.4,5,1355,2,2322,1,1170,0,0,217,2018,2
Poland,0,0,0,0,0,0,6,6000,0,0,0,2018,2
Romania,10.4,17.1,2,1310,0,0,2,1440,0,0,183,2018,2
Russia,179.7,17.1,36,27876,6,4804,26,28390,22,21000,5380,2018,2
