year,month,url
2019,6,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-and-uranium-requireme.aspx
2019,4,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/world-nuclear-power-reactors-and-uranium-requ-(11).aspx
2018,11,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-november-2018.aspx
2018,8,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/world-nuclear-power-reactors-and-uranium-requ-(10).aspx
2018,4,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-april-2018.aspx
2018,2,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/world-nuclear-power-reactors-and-uranium-requi-(9).aspx
2017,12,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/world-nuclear-power-reactors-and-uranium-requi-(8).aspx
2017,9,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-sept-2017.aspx
2017,7,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/world-nuclear-power-reactors-and-uranium-requi-(7).aspx
2017,5,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/world-nuclear-power-reactors-and-uranium-requi-(6).aspx
2017,3,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/world-nuclear-power-reactors-and-uranium-requi-(5).aspx
2017,1,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/world-nuclear-power-reactors-and-uranium-requi-(4).aspx
2016,11,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/world-nuclear-power-reactors-and-uranium-requi-(3).aspx
2016,9,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/world-nuclear-power-reactors-and-uranium-requi-(1).aspx
2016,8,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/world-nuclear-power-reactors-and-uranium-requi-(2).aspx
2016,7,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-july-2016.aspx
2016,6,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-june-2016.aspx
2016,5,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/world-nuclear-power-reactors-may-2016.aspx
2016,3,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-march-2016.aspx
2016,1,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-january-2016.aspx
2015,12,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-december-2015.aspx
2015,11,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-november-2015.aspx
2015,8,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-august-2015.aspx
2015,6,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-june-2015.aspx
2015,4,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-april-2015.aspx
2015,2,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-february-2015.aspx
2015,1,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-january-2015.aspx
2014,12,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-december-2014.aspx
2014,10,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-october-2014.aspx
2014,8,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-august-2014.aspx
2014,6,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-june-2014.aspx
2014,4,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-april-2014.aspx
2014,2,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-february-2014.aspx
2014,1,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-january-2014.aspx
2013,12,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-december-2013.aspx
2013,10,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-october-2013.aspx
2013,9,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-september-2013.aspx
2013,7,http://world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-july-2013.aspx
2013,6,http://world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-june-2013.aspx
2013,5,http://world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-may-2013.aspx
2013,4,http://world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-april-2013.aspx
2013,1,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-january-2013.aspx
2012,12,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-december-2012.aspx
2012,11,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-november-2012.aspx
2012,10,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-october-2012.aspx
2012,9,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-september-2012.aspx
2012,8,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-august-2012.aspx
2012,7,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-july-2012.aspx
2012,6,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-june-2012.aspx
2012,5,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-may-2012.aspx
2012,4,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-april-2012.aspx
2012,3,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-march-2012.aspx
2012,2,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-february-2012.aspx
2012,1,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-january-2012.aspx
2011,12,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-december-2011.aspx
2011,11,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-november-2011.aspx
2011,9,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-september-2011.aspx
2011,8,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-august-2011.aspx
2011,7,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-july-2011.aspx
2011,6,http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-june-2011.aspx
